spend,date_start,date_stop,ad_account_id,buid,bid,id,app_ad_account_id
156.71,2026-05-09,2026-05-09,act_1661536025005778,6225,18659,4883,4877
4.12,2026-05-09,2026-05-09,act_26036189366033913,11064,18505,4755,4756
352.24,2026-05-09,2026-05-09,act_831115309982470,13347,18409,4734,4723
405.55,2026-05-09,2026-05-09,act_1906206383623735,11891,18306,4612,4595
0.94,2026-05-09,2026-05-09,act_1505828804011527,6947,17775,4576,4561
8.17,2026-05-09,2026-05-09,act_3672770052865384,11064,13972,2366,2351
0.19,2026-05-09,2026-05-09,act_1753133571862007,11064,13407,2268,2259
62.72,2026-05-09,2026-05-09,act_795413176994227,11064,13368,2144,2144
10.37,2026-05-09,2026-05-09,act_2079800836115909,11064,13362,2145,2145
68.56,2026-05-09,2026-05-09,act_2130618571093292,5828,18707,4909,4903
278.74,2026-05-09,2026-05-09,act_1608313880376681,9487,18816,4964,4958
0.79,2026-05-09,2026-05-09,act_1500101344801350,11064,18679,4885,4879
8.21,2026-05-09,2026-05-09,act_2073742126808802,11064,18503,4753,4754
1762.34,2026-05-09,2026-05-09,act_1679883586782232,13131,18487,4749,4750
510.49,2026-05-09,2026-05-09,act_1966206227293849,6225,18336,4699,4675
0.21,2026-05-09,2026-05-09,act_2280755235767525,11064,13976,2364,2349
2301.5,2026-05-09,2026-05-09,act_733736992652089,6225,13111,2328,2316
126.48,2026-05-09,2026-05-09,act_32296209956692709,11064,13887,2325,2313
9.82,2026-05-09,2026-05-09,act_1531057797914980,11064,13530,2207,2200
5642.02,2026-05-09,2026-05-09,act_784603587545166,11891,13419,2164,2161
19.38,2026-05-09,2026-05-09,act_783716177612952,11064,13364,2147,2147
11.21,2026-05-09,2026-05-09,act_790239710089937,11064,12572,2011,2013
14.45,2026-05-09,2026-05-09,act_1397299941568426,11064,12401,1882,1885
31.55,2026-05-09,2026-05-09,act_1432491014560359,11064,12403,1799,1804
0.96,2026-05-09,2026-05-09,act_1256971019210846,11064,12286,1782,1784
218.02,2026-05-09,2026-05-09,act_1757921488165677,11064,12200,1779,1781
2301.5,2026-05-09,2026-05-09,act_733736992652089,10316,11312,1597,1592
36.91,2026-05-09,2026-05-09,act_2166286827163238,11064,9400,1116,1112
2043.06,2026-05-09,2026-05-09,act_1288298579710683,6889,13360,2137,2137
118.94,2026-05-09,2026-05-09,act_2055981848265195,6225,12485,1845,1848
496.33,2026-05-09,2026-05-09,act_1033130808586306,8413,11820,1739,1741
268.17,2026-05-09,2026-05-09,act_1038374691576359,9998,10896,1487,1483
0.25,2026-05-09,2026-05-09,act_4019588388295471,5475,10174,1280,1274
204.36,2026-05-09,2026-05-09,act_544976908070371,8914,9568,1122,1119
294.73,2026-05-09,2026-05-09,act_1843480049825458,11064,6975,1114,1110
643.55,2026-05-09,2026-05-09,act_1335117290957897,8408,8998,1030,1015
